customer_id,business_name,phone_number,national_id,county,business_type,signup_date,months_active,avg_monthly_orders,avg_order_value_kes,support_tickets_6m,late_deliveries_6m,pct_credit_orders,churned
DL-13700,Kiprop Enterprises,0793081057,18238376,Machakos,General shop,2025-06-05,13,0.8,9850.0,2,1,0.56,1
DL-11762,Wanjiku Mini Mart,0725467865,36160559,Uasin Gishu,Mini mart,2025-10-03,9,1.1,3170.0,1,1,0.3,1
DL-10812,Mwangi Traders,0773049239,30435063,Nairobi,General shop,2023-09-14,34,0.4,,0,0,0.4,0
DL-14135,Wafula Mini Mart,0721192401,10104317,Nairobi,General shop,2026-01-31,5,1.2,3600.0,1,0,0.17,0
DL-13762,Achieng Shop,0770073565,15008401,Meru,Pharmacy,2024-05-11,26,1.9,5310.0,8,10,0.09,1
DL-11059,Wafula Supplies,0720612614,35102583,Nairobi,Pharmacy,2024-11-07,20,1.1,2330.0,1,1,0.38,0
DL-10738,Chebet Stores,0768954577,18353234,Nairobi,Agrovet,2024-06-10,25,0.7,11560.0,1,0,0.5,0
DL-10564,Otieno Enterprises,0712540177,38162931,Nairobi,General shop,2025-03-07,16,1.7,2530.0,0,2,0.05,0
DL-13432,Wafula Stores,0774652878,17029826,Mombasa,Hardware,2025-12-02,7,0.9,7780.0,0,0,0.17,0
DL-10796,Mwangi Mini Mart,0773334980,27833829,Meru,Mini mart,2026-01-31,5,0.2,6020.0,1,0,1.0,0
DL-10057,Otieno Supplies,0717945557,37692427,Kisumu,General shop,2024-11-07,20,0.2,,1,1,0.0,0
DL-13639,Atieno Stores,0720349540,24855472,Nairobi,Agrovet,2025-04-06,15,1.6,8210.0,3,5,0.37,0
DL-14751,Otieno Traders,0778089879,31959298,Kiambu,Mini mart,2025-07-05,12,2.0,7740.0,1,3,0.25,0
DL-14610,Chebet Shop,0753009279,37183157,Kiambu,,2025-02-05,17,0.2,2030.0,1,0,0.5,0
DL-11583,Chebet Enterprises,0762066243,32277667,Kisumu,Hardware,2026-01-01,6,2.5,3230.0,1,4,0.13,1
DL-13690,Chebet Mart,0777412864,10448350,Mombasa,Agrovet,2025-05-06,14,4.3,18280.0,3,2,0.38,1
DL-10997,Atieno Supplies,0740540764,29929952,Meru,Pharmacy,2022-06-21,49,2.0,7950.0,1,3,0.29,0
DL-14158,Nyambura Shop,0731807422,14708448,Nairobi,,2025-06-05,13,0.7,4530.0,1,0,0.0,1
DL-12133,Wanjiku Enterprises,0798607434,29543909,Machakos,General shop,2025-11-02,8,4.9,5860.0,1,1,0.21,0
DL-10929,Achieng Supplies,0727260275,11965262,Machakos,Agrovet,2025-08-04,11,4.3,6340.0,1,2,0.23,0
DL-11267,Kiprop Shop,0790044746,20448521,Nairobi,Electronics,2022-12-18,43,2.1,7870.0,1,5,0.24,0
DL-11069,Wafula Duka,0771053288,28330891,Kiambu,General shop,2024-10-08,21,0.2,1860.0,2,0,0.5,1
DL-12284,Mwangi Shop,0766620766,10382825,Nairobi,Agrovet,2026-04-01,3,1.0,2460.0,0,0,0.0,0
DL-13511,Omondi Supplies,0718773403,21526557,Meru,Mini mart,2024-12-07,19,2.7,4680.0,6,9,0.41,1
DL-11656,Auma Duka,0766895310,10044441,Nairobi,Mini mart,2026-03-02,4,0.5,6880.0,0,1,0.5,0
DL-10832,Kamau Shop,0732081712,34898879,Nakuru,General shop,2025-05-06,14,3.1,7890.0,0,1,0.22,0
DL-11091,Wairimu Supplies,0713268815,23704465,Nairobi,General shop,2023-09-14,34,0.2,3280.0,0,0,0.0,0
DL-12462,Chebet Traders,0765919532,25066228,Uasin Gishu,Mini mart,2025-05-06,14,1.9,3090.0,2,1,0.22,0
DL-11735,Wafula Traders,0717094553,35462174,Nairobi,Pharmacy,2023-02-16,41,2.2,10860.0,2,1,0.27,0
DL-10093,Mutua Enterprises,0754343452,13737153,Kisumu,Hardware,2026-01-31,5,0.6,3870.0,1,1,0.0,0
DL-13401,Kiprop Enterprises,0760847977,20570688,Mombasa,Electronics,2026-05-01,2,0.5,6680.0,1,0,0.0,1
DL-14044,Barasa Mini Mart,0713471859,11680172,Nairobi,General shop,2026-03-02,4,0.8,5300.0,1,1,0.33,1
DL-12082,Mwangi Supplies,0782710370,28581842,Mombasa,Pharmacy,2025-12-02,7,1.4,4490.0,4,5,0.3,1
DL-11185,Barasa Mini Mart,0715145488,14573339,Meru,General shop,2025-07-05,12,0.9,6280.0,1,0,0.45,0
DL-13879,Chebet Stores,0722830516,17326044,Mombasa,Electronics,2026-03-02,4,3.0,4560.0,1,0,0.08,1
DL-11056,Atieno Mart,0774963063,14573347,Mombasa,Pharmacy,2025-01-06,18,2.0,13610.0,4,2,0.33,0
DL-11269,Njeri Enterprises,0710386460,24720327,Nakuru,Pharmacy,2022-08-20,47,2.6,14540.0,1,3,0.0,0
DL-12000,Mwangi Mini Mart,0738121168,24972439,Nakuru,Hardware,2026-01-01,6,0.8,12690.0,2,1,0.4,0
DL-10869,Chebet Duka,0717894238,19923159,Nairobi,Mini mart,2024-10-08,21,3.4,4460.0,1,5,0.39,1
DL-13260,Njeri Enterprises,0766667007,29550662,Meru,Mini mart,2026-03-02,4,3.5,7920.0,2,0,0.0,1
DL-11206,Achieng Traders,0773179095,16132029,Mombasa,Mini mart,2025-01-06,18,3.9,3890.0,0,1,0.53,0
DL-11777,Barasa Mini Mart,0746235169,23864876,Kiambu,Electronics,2026-01-31,5,0.6,2470.0,1,0,0.0,0
DL-10023,Wanjiku Duka,0725949510,14974118,Nairobi,Mini mart,2024-04-11,27,1.3,3990.0,2,1,0.56,0
DL-12993,Wairimu Mart,0776685732,32230067,Kisumu,Electronics,2025-12-02,7,1.3,3770.0,0,0,0.22,0
DL-10876,Kiprop Supplies,0723506060,19288634,Uasin Gishu,Agrovet,2025-10-03,9,0.7,6300.0,1,0,0.0,0
DL-12441,Wafula Supplies,0797661673,30780626,Mombasa,General shop,2024-10-08,21,1.1,3560.0,1,4,0.15,0
DL-13885,Wafula Mart,0742410842,16396025,Machakos,Agrovet,2026-01-31,5,1.6,,0,1,0.38,0
DL-10021,Atieno Shop,0723441321,13730614,Meru,General shop,2025-01-06,18,0.9,,2,2,0.18,0
DL-14900,Kiprop Mini Mart,0756069260,24013229,Kisumu,Pharmacy,2025-06-05,13,4.1,5810.0,7,6,0.65,1
DL-14616,Mutua Supplies,0773198084,32120030,Machakos,Pharmacy,2023-09-14,34,1.6,8330.0,5,6,0.37,1
DL-10439,Omondi Enterprises,0751326705,36115348,Mombasa,Hardware,2024-04-11,27,2.0,6060.0,4,3,0.21,1
DL-14618,Wafula Traders,0775377231,25232942,Machakos,General shop,2025-04-06,15,0.9,2380.0,1,3,0.09,0
DL-10111,Chebet Duka,0720866058,34703601,Nairobi,Hardware,2024-12-07,19,0.8,2290.0,1,4,0.7,0
DL-10500,Auma Mart,0777181430,32067153,Kisumu,Hardware,2024-03-12,28,1.0,5180.0,1,3,0.17,0
DL-10981,Wanjiku Shop,0749034781,37763295,Nairobi,General shop,2024-07-10,24,0.2,15560.0,1,0,0.33,0
DL-11182,Chebet Duka,0774601078,18024935,Mombasa,Electronics,2026-05-01,2,1.0,5600.0,3,0,0.0,0
DL-11240,Kiprop Mini Mart,0793215448,10611805,Mombasa,Agrovet,2022-12-18,43,0.1,4940.0,0,0,0.0,0
DL-11453,Wairimu Shop,0796230330,31381088,Nakuru,Pharmacy,2024-01-12,30,0.4,7060.0,1,3,0.0,0
DL-11878,Kamau Supplies,0766301706,19914593,Nairobi,Mini mart,2024-09-08,22,1.8,4720.0,0,3,0.27,0
DL-12008,Achieng Enterprises,0743162541,38806146,Meru,Mini mart,2025-04-06,15,0.5,,1,2,0.17,0
DL-11297,Kiprop Enterprises,0729515162,22958096,Nairobi,General shop,2022-08-20,47,0.9,4960.0,3,2,0.73,0
DL-12426,Otieno Traders,0778115828,23048578,Machakos,Mini mart,2021-07-26,60,0.6,12120.0,1,0,0.86,0
DL-10808,Mutua Enterprises,0710285904,34743775,Kiambu,Mini mart,2022-10-19,45,2.3,9470.0,1,0,0.39,0
DL-12799,Wanjiku Shop,0753059517,37849699,Nairobi,Mini mart,2025-09-03,10,0.7,6630.0,1,0,0.43,0
DL-10213,Achieng Enterprises,0775904602,12054320,Kisumu,Pharmacy,2025-09-03,10,1.6,3460.0,1,2,0.19,0
DL-14521,Chebet Mart,0761662699,38654446,Machakos,General shop,2025-10-03,9,4.7,3810.0,8,6,0.43,1
DL-13854,Nyambura Traders,0713120404,24853438,Nakuru,General shop,2024-06-10,25,0.2,3280.0,0,0,0.0,0
DL-11044,Nyambura Duka,0747133688,14950882,Meru,General shop,2023-02-16,41,1.2,2400.0,5,3,0.71,0
DL-14331,Kamau Mini Mart,0798142500,36882675,Nairobi,Hardware,2023-07-16,36,2.3,5870.0,3,2,0.43,1
DL-13356,Otieno Mini Mart,0760381262,21387026,Kisumu,General shop,2022-05-22,50,1.1,6430.0,2,1,0.0,0
DL-11036,Wanjiku Stores,0733262765,20163149,Meru,General shop,2025-09-03,10,0.5,5940.0,3,1,0.4,0
DL-14980,Wairimu Enterprises,0717786414,22579914,Uasin Gishu,General shop,2026-04-01,3,1.0,,1,0,0.33,0
DL-13736,Nyambura Enterprises,0799634075,31670980,Uasin Gishu,Hardware,2025-08-04,11,1.8,7310.0,4,3,0.35,1
DL-12694,Kiprop Duka,0763103557,11260723,Nairobi,Mini mart,2026-01-31,5,2.4,3420.0,0,1,0.17,0
DL-11123,Barasa Supplies,0752236932,32027163,Nairobi,Agrovet,2024-09-08,22,3.3,7680.0,1,2,0.08,0
DL-13568,Mwangi Duka,0766005039,28064769,Kisumu,General shop,2024-11-07,20,0.5,7890.0,3,3,0.33,0
DL-11300,Mwangi Mart,0727944484,25731806,Machakos,Mini mart,2025-04-06,15,0.3,12290.0,1,0,0.0,0
DL-12912,Achieng Traders,0749914830,18105039,Nairobi,Pharmacy,2025-03-07,16,0.8,5560.0,1,0,0.5,0
DL-12103,Njeri Supplies,0767428275,11604529,Nairobi,Pharmacy,2023-06-16,37,0.9,3780.0,5,4,0.36,0
DL-13409,Wanjiku Stores,0764401181,23950584,Machakos,Hardware,2024-03-12,28,1.8,,2,0,0.14,0
DL-14938,Atieno Supplies,0775735178,39197205,Nairobi,General shop,2025-06-05,13,0.6,5270.0,3,1,0.43,0
DL-10591,Atieno Stores,0770269371,19226062,Nakuru,General shop,2024-01-12,30,1.9,5690.0,0,1,0.09,0
DL-12651,Njeri Supplies,0744276606,38552238,Machakos,General shop,2026-05-01,2,1.0,6380.0,1,0,0.5,0
DL-10331,Otieno Mart,0780246270,32499080,Machakos,Hardware,2024-06-10,25,1.6,4180.0,1,0,0.26,0
DL-11470,Kiprop Duka,0769929331,17648747,Uasin Gishu,Pharmacy,2023-02-16,41,1.2,6670.0,1,1,0.14,1
DL-13334,Atieno Supplies,0783061087,28440853,Meru,Pharmacy,2026-01-01,6,0.2,4130.0,1,0,0.0,0
DL-12504,Wafula Stores,0734579078,11449866,Mombasa,Pharmacy,2025-04-06,15,2.4,,4,4,0.1,1
DL-10281,Barasa Mini Mart,0715379895,20507812,Nakuru,General shop,2026-01-01,6,3.0,6360.0,0,1,0.33,0
DL-13519,Omondi Stores,0735628872,30844964,Nairobi,General shop,2025-09-03,10,0.9,3010.0,1,1,0.22,0
DL-14334,Atieno Mart,0752914422,28901050,Uasin Gishu,Electronics,2025-02-05,17,1.7,14750.0,1,1,0.4,0
DL-14809,Auma Mini Mart,0757244152,37071311,Uasin Gishu,Pharmacy,2025-08-04,11,2.4,4910.0,0,0,0.23,0
DL-11773,Kiprop Shop,0799999837,11215416,Machakos,General shop,2024-04-11,27,0.8,4410.0,1,0,0.44,0
DL-13386,Barasa Enterprises,0781170979,39072283,Meru,,2025-06-05,13,2.2,14040.0,8,6,0.52,0
DL-10569,Chebet Stores,0756927765,29539205,Uasin Gishu,Mini mart,2025-02-05,17,1.8,8870.0,1,2,0.05,0
DL-10521,Njeri Traders,0712608787,34755574,Nairobi,Agrovet,2025-11-02,8,1.4,4000.0,1,1,0.55,0
DL-10811,Omondi Mart,0733410975,23582081,Kisumu,General shop,2025-02-05,17,0.5,10010.0,0,0,0.33,0
DL-11073,Wairimu Traders,0726326958,38117703,Kisumu,Electronics,2024-06-10,25,0.2,7710.0,0,2,0.0,0
DL-11204,Wairimu Mini Mart,0742639609,16978529,Mombasa,Mini mart,2025-12-02,7,0.3,4520.0,1,0,0.0,0
DL-11032,Mwangi Traders,0787121623,34960633,Nairobi,Mini mart,2024-09-08,22,1.3,5160.0,0,0,0.12,0
DL-14325,Auma Mini Mart,0756582658,34059150,Nairobi,Agrovet,2021-07-26,60,1.2,6450.0,2,2,0.6,1
DL-13010,Otieno Shop,0780986652,24461164,Nairobi,General shop,2021-08-25,59,1.0,9440.0,1,0,0.67,0
DL-11365,Wanjiku Traders,0776488466,25557990,Meru,General shop,2026-01-01,6,3.3,1990.0,2,2,0.3,0
DL-14144,Atieno Traders,0750807029,13630716,Nairobi,Pharmacy,2025-08-04,11,0.5,9010.0,1,0,0.4,0
DL-14755,Atieno Supplies,0790245814,21065465,Kiambu,Mini mart,2025-04-06,15,0.3,2960.0,0,0,0.75,0
DL-14406,Otieno Mart,0771055844,33473385,Mombasa,General shop,2026-05-31,1,1.0,6810.0,1,0,0.0,0
DL-14431,Njeri Mini Mart,0722662090,37484303,Mombasa,General shop,2023-05-17,38,1.2,2520.0,2,3,0.07,0
DL-12659,Barasa Enterprises,0782815520,39801145,Uasin Gishu,Hardware,2023-09-14,34,0.9,7700.0,1,1,0.18,0
DL-14552,Omondi Mart,0797991874,11397470,Mombasa,General shop,2023-11-13,32,1.7,5360.0,1,1,0.15,0
DL-11522,Njeri Traders,0757772799,22587365,Nairobi,,2024-12-07,19,0.6,12210.0,1,3,0.0,0
DL-12382,Achieng Supplies,0754464971,34764643,Nairobi,General shop,2025-02-05,17,1.2,,1,2,0.33,0
DL-11890,Achieng Traders,0775381450,37874275,Kisumu,Electronics,2024-12-07,19,0.4,4630.0,1,0,0.2,0
DL-11038,Omondi Traders,0746172234,16726503,Uasin Gishu,Agrovet,2025-01-06,18,1.4,3540.0,3,2,0.47,0
DL-10279,Auma Mart,0763021378,11703231,Kiambu,Hardware,2025-03-07,16,1.2,4840.0,2,2,0.29,0
DL-13775,Mwangi Duka,0741766052,33058037,Nairobi,General shop,2025-02-05,17,0.8,3720.0,0,0,0.1,1
DL-11567,Mwangi Stores,0749216898,27043401,Nakuru,Agrovet,2024-07-10,24,4.2,6350.0,0,1,0.16,0
DL-11400,Barasa Enterprises,0782607483,23173378,Nakuru,Pharmacy,2025-04-06,15,0.9,3910.0,5,4,0.09,1
DL-14257,Wafula Supplies,0740024672,30826475,Mombasa,Mini mart,2025-01-06,18,1.5,2750.0,1,0,0.11,0
DL-11661,Barasa Enterprises,0780716107,30442474,Nairobi,General shop,2025-11-02,8,1.6,5370.0,4,1,0.31,0
DL-10285,Atieno Mart,0748533366,15062645,Machakos,Mini mart,2024-01-12,30,0.4,2770.0,1,1,0.4,0
DL-11137,Omondi Shop,0731517172,34350729,Mombasa,Mini mart,2025-08-04,11,0.8,8070.0,0,3,0.33,1
DL-13025,Njeri Duka,0749043754,27513122,Nakuru,Electronics,2026-01-01,6,3.2,3530.0,2,6,0.58,1
DL-10020,Njeri Shop,0783246419,29241384,Kiambu,Mini mart,2025-09-03,10,0.4,6240.0,0,0,0.0,0
DL-13684,Nyambura Stores,0758791520,38859117,Nairobi,General shop,2024-09-08,22,2.8,4340.0,1,1,0.38,0
DL-10979,Nyambura Stores,0721116540,32506600,Kiambu,Electronics,2024-03-12,28,0.4,6050.0,1,0,0.6,0
DL-14445,Wafula Supplies,0723391837,16841160,Nairobi,Mini mart,2025-07-05,12,0.2,9020.0,4,0,0.5,1
DL-14793,Wafula Supplies,0799202157,11402054,Nairobi,Pharmacy,2025-02-05,17,3.8,8110.0,2,3,0.63,1
DL-10346,Kiprop Mini Mart,0779634510,20226837,Meru,Agrovet,2025-07-05,12,0.6,5220.0,0,0,0.29,0
DL-10915,Wafula Enterprises,0770184265,37876876,Nakuru,Mini mart,2026-03-02,4,2.5,3400.0,0,1,0.5,0
DL-10809,Nyambura Traders,0754481122,28748958,Nairobi,Mini mart,2023-09-14,34,1.2,5260.0,4,4,0.53,0
DL-12091,Otieno Mini Mart,0738378104,23563610,Kiambu,General shop,2024-10-08,21,0.6,4630.0,0,0,0.57,0
DL-13039,Kiprop Supplies,0786973641,13626810,Mombasa,General shop,2023-11-13,32,1.8,5180.0,3,2,0.32,0
DL-14420,Mutua Supplies,0755695943,22304426,Nakuru,Pharmacy,2025-12-02,7,2.1,20360.0,4,6,0.27,1
DL-13162,Chebet Mart,0790561345,27471390,Mombasa,Hardware,2025-12-02,7,1.9,6130.0,0,2,0.62,0
DL-11315,Nyambura Stores,0750854326,28064366,Meru,General shop,2025-08-04,11,0.7,1820.0,2,2,0.25,1
DL-10940,Atieno Stores,0787297504,27210077,Nairobi,Agrovet,2026-05-01,2,1.5,10960.0,1,0,1.0,1
DL-14961,Auma Traders,0737990593,38006471,Nakuru,General shop,2025-04-06,15,0.7,6070.0,2,1,0.0,0
DL-11208,Mutua Mart,0726001539,30807911,Nakuru,General shop,2024-02-11,29,2.2,2690.0,2,0,0.35,0
DL-11456,Nyambura Supplies,0730304923,15007716,Nairobi,General shop,2025-10-03,9,0.6,1350.0,0,1,0.4,0
DL-12509,Kiprop Stores,0760014205,20383485,Nairobi,General shop,2025-10-03,9,2.7,7030.0,2,1,0.17,0
DL-12635,Wanjiku Supplies,0796033748,36500690,Nairobi,Mini mart,2025-11-02,8,1.5,18500.0,3,3,0.42,1
DL-11213,Atieno Mini Mart,0727013041,12948406,Mombasa,Hardware,2025-07-05,12,0.2,1450.0,0,1,0.33,0
DL-11821,Atieno Shop,0772153092,39781579,Nairobi,,2025-12-02,7,1.0,1810.0,0,0,0.0,0
DL-12207,Auma Duka,0728659985,10555599,Machakos,General shop,2025-11-02,8,5.0,,0,4,0.38,0
DL-13881,Omondi Mart,0746976425,35767866,Nairobi,Hardware,2026-01-01,6,0.5,2470.0,2,0,1.0,0
DL-10009,Wairimu Traders,0770588865,15235213,Mombasa,Mini mart,2025-04-06,15,2.2,6980.0,0,2,0.12,1
DL-14404,Barasa Enterprises,0723009495,33639366,Nairobi,General shop,2024-02-11,29,0.8,4950.0,1,5,0.3,1
DL-13440,Barasa Shop,0719017239,36518618,Machakos,Mini mart,2025-10-03,9,1.1,5640.0,1,2,0.2,0
DL-10087,Wanjiku Traders,0783747887,14371281,Nairobi,Mini mart,2022-10-19,45,1.1,5730.0,1,6,0.0,0
DL-10958,Achieng Enterprises,0735883699,25479342,Nakuru,General shop,2023-05-17,38,0.8,3390.0,3,1,0.5,1
DL-14803,Barasa Shop,0793444555,31397378,Nairobi,Mini mart,2022-09-19,46,2.5,3870.0,1,1,0.7,0
